DATE,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
2020-11-17,394.299988,379.649994,2307.350098,2187.649902,628.799988,3045.149902,4488.0,736.534973,394.649994,484.549988,3509.800049,742.549988,128.699997,3427.0,4784.149902,2541.699951,842.900024,815.0,1408.449951,670.049988,3031.300049,213.550003,2177.600098,2349.0,486.399994,187.350006,784.150024,1123.699951,340.950012,1796.650024,1080.900024,637.25,6981.450195,88.699997,16982.849609,71.300003,140.100037,1993.25,863.150024,240.199997,518.400024,2666.050049,518.299988,158.0,52.27,845.25,1301.949951,429.649994,4909.049805,348.700012
2020-11-18,394.5,391.100006,2288.699951,2195.75,636.299988,3037.899902,4653.75,778.994995,383.049988,478.399994,3500.350098,742.950012,128.25,3451.800049,4703.799805,2614.149902,848.950012,814.299988,1408.699951,664.799988,2983.0,219.350006,2132.100098,2364.899902,497.649994,184.050003,828.299988,1110.550049,342.600006,1830.599976,1148.150024,705.75,7054.299805,88.300003,16872.599609,71.949997,139.050034,1987.199951,857.950012,252.0,513.0,2626.649902,516.900024,173.5,51.720001,836.099976,1280.099976,426.299988,4927.5,345.299988
2020-11-19,385.75,381.899994,2299.050049,2161.699951,611.5,3034.25,4536.549805,782.340027,383.700012,468.549988,3511.350098,742.099976,122.050003,3435.050049,4707.700195,2551.25,836.75,804.549988,1374.349976,646.049988,2988.5,213.850006,2130.75,2324.600098,478.75,187.899994,818.0,1096.75,331.200012,1826.349976,1134.25,703.900024,6963.299805,89.800003,16934.150391,72.150002,142.350037,1973.150024,846.75,239.75,507.350006,2636.899902,515.599976,167.949997,52.360001,822.900024,1292.449951,416.5,4778.0,342.600006
2020-11-20,388.299988,375.850006,2349.600098,2166.550049,607.849976,3058.550049,4715.850098,854.26001,383.299988,483.700012,3552.100098,739.900024,121.449997,3469.100098,4670.950195,2590.649902,856.0,819.25,1403.650024,663.900024,2998.649902,215.550003,2120.25,2334.800049,480.200012,191.699997,811.0,1103.349976,336.149994,1889.400024,1132.300049,715.599976,6965.850098,91.800003,17460.400391,71.650002,143.887527,1899.5,845.450012,242.75,503.25,2660.25,519.049988,169.100006,53.290001,837.549988,1365.150024,420.399994,4862.549805,346.299988
2020-11-23,409.049988,375.149994,2375.350098,2186.25,595.599976,3077.75,4811.450195,877.434998,394.450012,477.25,3557.399902,746.299988,122.75,3546.300049,4828.75,2597.350098,854.599976,839.200012,1394.599976,661.299988,3059.75,218.050003,2129.399902,2250.800049,468.25,190.850006,849.75,1139.849976,337.75,1897.849976,1125.849976,705.450012,6987.75,93.650002,17786.400391,76.5,146.062531,1950.699951,831.599976,238.699997,512.849976,2724.25,521.650024,170.699997,54.310001,865.75,1347.599976,426.450012,4889.5,355.850006
2020-11-24,407.200012,392.25,2313.350098,2207.899902,619.650024,3095.699951,4810.649902,885.969971,389.75,474.25,3562.25,748.450012,123.25,3537.050049,4915.5,2693.300049,853.25,840.5,1438.199951,664.150024,3074.149902,226.0,2157.350098,2217.699951,478.200012,195.550003,853.700012,1140.050049,340.850006,1924.900024,1135.5,729.349976,7158.399902,94.150002,17677.599609,76.099998,145.875031,1964.050049,838.950012,243.850006,520.150024,2722.050049,526.849976,172.050003,54.830002,877.650024,1327.150024,427.450012,4873.200195,355.5
2020-11-25,399.25,398.950012,2241.5,2154.300049,599.849976,3051.25,4689.75,871.775024,382.049988,464.100006,3555.800049,731.650024,123.949997,3469.449951,4806.299805,2595.100098,843.099976,824.700012,1402.800049,665.099976,3008.75,223.449997,2135.850098,2191.350098,472.700012,193.850006,855.049988,1115.650024,338.25,1862.449951,1116.0,719.950012,7055.700195,93.949997,17520.199219,80.800003,146.475037,1947.800049,849.049988,243.0,506.200012,2701.300049,514.799988,171.449997,54.125,862.25,1306.949951,418.600006,4819.850098,350.0
2020-11-26,401.950012,410.149994,2304.350098,2155.300049,612.549988,3129.199951,4821.25,880.669983,378.0,468.399994,3548.75,738.700012,125.050003,3544.300049,4901.350098,2549.199951,877.400024,842.049988,1426.650024,660.799988,3024.550049,229.899994,2154.199951,2238.399902,475.299988,194.800003,850.549988,1113.199951,359.200012,1889.099976,1118.849976,728.5,6994.25,94.099998,17741.949219,80.199997,148.237534,1952.599976,851.5,245.449997,511.700012,2720.600098,519.849976,173.75,56.84,857.049988,1327.400024,420.549988,4834.149902,354.850006
2020-11-27,398.399994,411.549988,2347.899902,2215.300049,601.599976,3173.550049,4908.799805,875.880005,373.0,463.25,3637.949951,745.599976,125.550003,3605.100098,4828.950195,2534.649902,875.75,822.099976,1440.849976,646.799988,3108.850098,226.350006,2138.199951,2256.25,473.350006,193.649994,857.650024,1100.0,350.200012,1907.099976,1122.400024,722.0,7035.799805,94.699997,17888.949219,78.5,144.300034,1929.800049,846.049988,244.25,511.649994,2679.649902,538.0,180.350006,57.735001,876.849976,1361.199951,417.700012,4802.0,350.5
2020-12-01,421.899994,423.799988,2463.0,2230.050049,603.650024,3243.649902,4861.100098,874.655029,379.299988,479.450012,3629.350098,755.599976,126.400002,3620.75,4830.399902,2532.699951,907.799988,834.099976,1433.300049,641.900024,3110.25,229.300003,2133.050049,2306.949951,485.100006,194.399994,895.5,1137.849976,358.149994,1875.849976,1115.949951,734.549988,7101.700195,93.75,17418.150391,81.550003,144.262543,1954.900024,851.349976,248.050003,539.349976,2726.800049,529.299988,179.75,58.580002,907.299988,1341.099976,433.049988,4910.5,352.850006
